id,admission_threshold,cache_size,cms_delta,cms_epsilon,default_latency,latency_utility,model,policy,protected_fraction,request_count,size_utility,tau,tiny_window_size,window_size
216,,1000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,1000000,
217,,1000000,,,,,docker-registry-processed,lru,,1000000,,,,
218,,1000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,100
219,,1000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,1000
220,,1000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,10000
221,,1000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,100000
222,,1000000,,,,,docker-registry-processed,lfu-sliding,,1000000,,,,1000000
223,,1000000,,,1,freq_over_size_times_latency,docker-registry-processed,lfu-latency-byte,,1000000,,,,
224,,1000000,,,1,freq_times_latency_over_size,docker-registry-processed,lfu-latency-byte,,1000000,,,,
225,2,1000000,1.00E-07,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
226,2,1000000,1.00E-06,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
227,2,1000000,1.00E-05,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
228,2,1000000,1.00E-04,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
229,2,1000000,1.00E-03,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
230,2,1000000,1.00E-02,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
231,2,1000000,1.00E-07,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
232,2,1000000,1.00E-06,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
233,2,1000000,1.00E-05,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
234,2,1000000,1.00E-04,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
235,2,1000000,1.00E-03,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
236,2,1000000,1.00E-02,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
237,2,1000000,1.00E-07,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
238,2,1000000,1.00E-06,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
239,2,1000000,1.00E-05,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
240,2,1000000,1.00E-04,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
241,2,1000000,1.00E-03,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
242,2,1000000,1.00E-02,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
243,2,1000000,1.00E-07,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
244,2,1000000,1.00E-06,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
245,2,1000000,1.00E-05,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
246,2,1000000,1.00E-04,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
247,2,1000000,1.00E-03,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
248,2,1000000,1.00E-02,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
249,3,1000000,1.00E-07,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
250,3,1000000,1.00E-06,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
251,3,1000000,1.00E-05,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
252,3,1000000,1.00E-04,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
253,3,1000000,1.00E-03,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
254,3,1000000,1.00E-02,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
255,3,1000000,1.00E-07,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
256,3,1000000,1.00E-06,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
257,3,1000000,1.00E-05,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
258,3,1000000,1.00E-04,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
259,3,1000000,1.00E-03,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
260,3,1000000,1.00E-02,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
261,3,1000000,1.00E-07,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
262,3,1000000,1.00E-06,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
263,3,1000000,1.00E-05,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
264,3,1000000,1.00E-04,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
265,3,1000000,1.00E-03,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
266,3,1000000,1.00E-02,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
267,3,1000000,1.00E-07,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
268,3,1000000,1.00E-06,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
269,3,1000000,1.00E-05,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
270,3,1000000,1.00E-04,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
271,3,1000000,1.00E-03,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
272,3,1000000,1.00E-02,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
273,4,1000000,1.00E-06,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
274,4,1000000,1.00E-05,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
275,4,1000000,1.00E-04,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
276,4,1000000,1.00E-03,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
277,4,1000000,1.00E-02,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
278,4,1000000,1.00E-07,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
279,4,1000000,1.00E-06,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
280,4,1000000,1.00E-05,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
281,4,1000000,1.00E-04,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
282,4,1000000,1.00E-03,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
283,4,1000000,1.00E-02,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
284,4,1000000,1.00E-07,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
285,4,1000000,1.00E-06,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
286,4,1000000,1.00E-05,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
287,4,1000000,1.00E-04,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
288,4,1000000,1.00E-03,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
289,4,1000000,1.00E-02,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
290,4,1000000,1.00E-07,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
